"name:text:u","yomi:text","denryaku:text:u","urban:integer:n","yamanote:integer:n","densha:integer:n","comment:trash"
"黒田原","くろだはら","トキロハ",,,,
"豊原","とよはら","トキトヨ",,,,
"白坂","しらさか","トキラサ",,,,
"新白河","しんしらかわ","トキシワ",,,,
"白河","しらかわ","トキラカ",,,,
"久田野","くたの","センクノ",,,,
"泉崎","いずみざき","センミキ",,,,
"矢吹","やぶき","センヤフ",,,,
"鏡石","かがみいし","センカミ",,,,
"須賀川","すかがわ","センカハ",,,,
"安積永盛","あさかながもり","センサナ",,,,
"（北）郡山","こおりやま","センコリ",,,,
"日和田","ひわだ","センヒワ",,,,
"五百川","ごひゃくがわ","センコワ",,,,
"本宮","もとみや","センモヤ",,,,
"杉田","すぎた","センスキ",,,,
"二本松","にほんまつ","センニマ",,,,
"安達","あだち","センタチ",,,,
"松川","まつかわ","センマワ",,,,
"金谷川","かなやがわ","センカヤ",,,,
"南福島","みなみふくしま","センミフ",,,,
"（北）福島","ふくしま","センフク",,,,
"東福島","ひがしふくしま","センヒフ",,,,
"伊達","だて","センタテ",,,,
"桑折","こおり","センクワ",,,,
"藤田","ふじた","センフシ",,,,
"貝田","かいだ","センヒタ",,,,
"越河","こすごう","センコス",,,,
"（北）白石","しろいし","センシロ",,,,
"東白石","ひがししろいし","センヒシ",,,,
"北白川","きたしらかわ","センキシ",,,,
"（北）大河原","おおがわら","センオカ",,,,
"（北）船岡","ふなおか","センナオ",,,,
"槻木","つきのき","センツキ",,,,
"岩沼","いわぬま","センイワ",,,,
"館腰","たてこし","センテシ",,,,
"名取","なとり","センナリ",,,,
"南仙台","みなみせんだい","センナセ",2,,,
"長町","ながまち","センナチ",2,,,
"仙台","せんだい","センセン",2,,,
"東仙台","ひがしせんだい","センヒセ",2,,,
"岩切","いわきり","センワキ",2,,,
"陸前山王","りくぜんさんのう","センリサ",,,,
"国府多賀城","こくふたがじょう","センコク",,,,
"塩釜","しおがま","センシホ",,,,
"松島","まつしま","センマシ",,,,
"愛宕","あたご","センアタ",,,,
"品井沼","しないぬま","センシナ",,,,
"鹿島台","かしまだい","センカイ",,,,
"松山町","まつやままち","センマヤ",,,,
"小牛田","こごた","センココ",,,,
"田尻","たじり","センタシ",,,,
"瀬峰","せみね","センセネ",,,,
"梅ヶ沢","うめがさわ","センウメ",,,,
"（北）新田","にった","センニタ",,,,
"石越","いしこし","センコシ",,,,
"油島","ゆしま","モリユシ",,,,
"花泉","はないずみ","モリハナ",,,,
"清水原","しみずはら","モリツラ",,,,
"有壁","ありかべ","モリカヘ",,,,
"一ノ関","いちのせき","モリイチ",,,,
"山ノ目","やまのめ","モリヤノ",,,,
"平泉","ひらいずみ","モリライ",,,,
"前沢","まえさわ","モリマサ",,,,
"陸中折居","りくちゅうおりい","モリリイ",,,,
"水沢","みずさわ","モリミツ",,,,
"金ヶ崎","かねがさき","モリネサ",,,,
"六原","ろくはら","モリロク",,,,
"北上","きたかみ","モリカミ",,,,
"村崎野","むらさきの","モリムノ",,,,
